"","Date","Day","Position","Mark","Sex","Tank","Group","Trial","Fish_ID","Notes","tot_dist","mean_velocity","velocity_sd","velocity_se","high_freq","high_duration","mid_freq","mid_duration","low_freq","low_duration","low_mid_high_trans","high_mid_low_trans","freezing_freq","freezing_dur","tot_duration","Weight(g)"
"311","11/09/2019","Wednesday","4","Blu.Bla","male","HA_T2","Treatment","23","a7461",NA,1999.26,4.44359,2.87676,0.0383602,8,73.76,24,58.56,16,317.68,4,5,5,0.4,450,0.438
"312","2/08/2019","Friday","1","Red.Blu","male","HA_C3","Control","14","a7466","RE-RUN AFTER WATER CHANGE",2026.84,4.50488,3.51046,0.0468103,11,40.88,33,65.28,22,343.84,8,5,13,1.36,450,0.341
"313","19/08/2019","Monday","2","Red.Blu","male","HA_C3","Control","4","a7466",NA,1948.88,4.33161,3.10454,0.0413975,15,31.2,36,97.76,22,321.04,10,7,6,0.8,450,0.341
"314","11/09/2019","Wednesday","2","Red.Blu","male","HA_C3","Control","27","a7466",NA,717.664,1.59509,1.45464,0.0193969,0,0,0,0,1,450,0,0,18,106.16,450,0.341
"315","2/08/2019","Friday","6","Red.Red","male","HA_T1","Treatment","3","a7468",NA,723.871,1.60889,1.59256,0.021236,0,0,0,0,1,450,0,0,21,117.2,450,0.48
"316","19/08/2019","Monday","2","Red.Red","male","HA_T1","Treatment","12","a7468",NA,2275.9,5.05846,2.85203,0.0380305,25,78.24,55,122.88,31,248.88,14,14,5,0.56,450,0.48
"317","11/09/2019","Wednesday","4","Red.Red","male","HA_T1","Treatment","15","a7468",NA,2441.99,5.42762,3.34349,0.0445838,22,108.64,49,108.16,28,233.2,10,14,5,0.4,450,0.48
"318","2/08/2019","Friday","4","Red.Bro","male","HA_C2","Control","6","a7474",NA,2328.95,5.17637,3.21071,0.0428133,18,77.92,39,77.68,21,294.4,16,13,2,0.16,450,0.397
"319","19/08/2019","Monday","2","Red.Bro","male","HA_C2","Control","17","a7474",NA,2182.63,4.85116,3.13022,0.04174,13,47.2,29,61.36,17,341.44,12,11,6,0.88,450,0.397
"320","11/09/2019","Wednesday","2","Red.Bro","male","HA_C2","Control","12","a7474",NA,1724.96,3.83393,2.27915,0.0303914,6,22.08,14,46.16,8,381.76,4,4,5,0.64,450,0.397
"321","2/08/2019","Friday","1","Yel._","male","HA_C1","Control","27","a7475",NA,1094.53,2.43273,1.44505,0.0192691,0,0,0,0,1,450,0,0,6,0.88,450,0.428
"322","19/08/2019","Monday","5","Yel._","male","HA_C1","Control","9","a7475",NA,2161.89,4.80506,2.82623,0.0376864,19,100.64,35,93.28,17,256.08,14,8,5,0.4,450,0.428
