Mark,Sex,Fish_ID,Tank,Treatment_Tank,Weight(g),Fish_Length_cm,BMI,K Index,Date,Week,Age_Days,Notes
Yel.Pin,male,a6996,HA_T3,Treatment,0.244,2.62,0.035545714,,17/05/2019,0,112,
Gre.Gre,female,a7019,HA_T3,Treatment,0.262,2.391,0.045829186,,17/05/2019,0,112,acually female
Red.Bro,male,a7045,HA_T3,Treatment,0.201,2.546,0.031008393,,17/05/2019,0,112,
Red.Bla,female,a7091,HA_T3,Treatment,0.232,2.503,0.037031072,,17/05/2019,0,112,
Bla.Whi,male,a7139,HA_T3,Treatment,0.172,2.347,0.031224987,,17/05/2019,0,112,
Pur.Gre,female,a7160,HA_T3,Treatment,0.216,2.528,0.03379867,,17/05/2019,0,112,
Yel.Whi,female,a7210,HA_T3,Treatment,0.282,2.678,0.039321309,,17/05/2019,0,112,
Whi.Bro,male,a7266,HA_T3,Treatment,0.177,2.454,0.029391662,,17/05/2019,0,112,
Gre.Bro,female,a7296,HA_T3,Treatment,0.24,2.416,0.041116618,,17/05/2019,0,112,
Yel.Bla,female,a7337,HA_T3,Treatment,0.315,2.622,0.045818955,,17/05/2019,0,112,yel small
_.Ora,male,a7414,HA_T3,Treatment,0.269,2.738,0.035882723,,17/05/2019,0,112,
Red.Whi,male,a7469,HA_T3,Treatment,0.218,2.461,0.035994261,,17/05/2019,0,112,
Ora.Yel,female,a7484,HA_T3,Treatment,0.331,2.834,0.041212438,,17/05/2019,0,112,
Ora.Pin,female,a7556,HA_T3,Treatment,0.258,2.511,0.04091912,,17/05/2019,0,112,
Red.Pin,male,a7566,HA_T3,Treatment,0.195,2.567,0.029592583,,17/05/2019,0,112,
Bla.Red,male,a7610,HA_T3,Treatment,0.116,2.018,0.028484963,,17/05/2019,0,112,
Whi.Whi,female,a7640,HA_T3,Treatment,0.309,2.545,0.047707088,,17/05/2019,0,112,
Gre.Ora,female,a7686,HA_T3,Treatment,0.328,2.655,0.046531258,,17/05/2019,0,112,
_.Bro,male,a7719,HA_T3,Treatment,0.151,2.22,0.030638747,,17/05/2019,0,112,
Red.Red,female,a8063,HA_T3,Treatment,0.226,2.472,0.036983798,,17/05/2019,0,112,
_.Whi,male,a8070,HA_T3,Treatment,0.253,2.573,0.038215623,,17/05/2019,0,112,
_.Bla,male,a6799,HA_T4,Treatment,0.234,2.671,0.032799565,,17/05/2019,0,112,
Gre.Gre,male,a6869,HA_T4,Treatment,0.205,2.466,0.033710696,,17/05/2019,0,112,
Blu.Bla,male,a6891,HA_T4,Treatment,0.226,2.583,0.033873465,,17/05/2019,0,112,
Ora.Blu,female,a6961,HA_T4,Treatment,0.205,2.311,0.038384331,,17/05/2019,0,112,
Gre.Bro,male,a7018,HA_T4,Treatment,0.213,2.474,0.034800078,,17/05/2019,0,112,
