Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Novel,Friday,NA,Q,1,male,Ora.Yel,8,1,HA_C2,Control,a7153,NA,231.228,1.28463,22.1453,49827,22.5252,157.676,55.8386,0.39999,1.43996,1.67996,83.4379,2.87993,0.319992,33.9992,58.2385,4.79988,116.957,179.995,14.7996
Novel,Friday,NA,X,8,male,Whi.Pin,8,2,HA_T2,Treatment,a7375,NA,899.896,4.99955,21.2275,47761.8,27.5193,82.5579,18.4795,1.75996,12.9597,12.3997,58.8785,21.1195,0,54.3986,33.9992,73.6782,72.3182,179.995,88.6378
Novel,Friday,NA,Q,1,female,Pin.Blu,9,1,HA_T2,Treatment,a7288,NA,709.272,3.9405,32.3031,72681.9,8.00E-02,0.39999,0,0,6.31984,2.71993,38.639,1.99995,118.637,11.6797,1.19997,13.5997,165.196,179.995,125.117
Novel,Friday,NA,X,8,male,Blu.Bla,9,2,HA_T2,Treatment,a7461,NA,848.578,4.71444,9.43646,21232,0.182853,1.27997,23.3594,116.797,6.55984,6.79983,6.15985,11.4397,3.35992,5.51986,148.156,18.4795,13.3597,179.995,135.917
Novel,Friday,NA,Q,1,female,Whi._,10,1,HA_T2,Treatment,a8050,NA,1954.09,10.8854,16.5115,37068.2,0.239994,0.239994,47.6788,21.5195,18.2395,17.3596,31.7592,17.2796,7.03982,18.9595,81.118,46.7188,51.9987,179.836,175.756
Novel,Friday,NA,X,8,female,Blu.Ora,10,2,HA_T2,Treatment,a6883,NA,246.458,1.36924,7.51909,16917.9,10.3052,113.357,7.9998,166.716,0,1.59996,0,3.67991,0,0,177.116,2.87993,0,179.995,33.8392
Novel,Monday,29/07/2019,C,3,male,Ora.Bro,1,1,HA_C1,Control,a7152,NA,1895.6,10.5314,10.6676,24002.2,-,0,38.399,89.5978,6.79983,6.71983,10.7997,11.2797,9.03977,7.35982,135.197,20.0795,24.7194,179.995,173.356
Novel,Monday,29/07/2019,E,5,female,Pin.Whi,1,2,HA_C1,Control,a7281,NA,1506.05,8.36717,24.2097,54471.7,54.0786,54.0786,16.3196,9.51976,13.7597,13.1197,91.2777,13.6797,6.15985,16.1596,35.8391,34.6391,109.517,179.995,118.157
Novel,Monday,29/07/2019,C,3,female,Bro.Bla,2,1,HA_C1,Control,a7082,NA,1616.52,8.9929,13.9066,31262,1.63996,3.27992,41.119,49.7588,12.2397,15.9196,17.1196,17.4396,10.6397,15.7596,104.317,36.8791,38.799,179.995,170.716
Novel,Monday,29/07/2019,E,5,male,Yel._,2,2,HA_C1,Control,a7475,NA,1460.23,8.11257,19.6015,44103.3,0.279993,0.559986,20.8795,21.5195,21.7595,18.9595,45.0389,17.6796,6.71983,27.4393,53.7587,54.2386,71.9982,179.995,158.236
