Stim,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_mean,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
Aggression,Wednesday,NA,M,5,male,_.Whi,9,2,HA_T3,Treatment,a8070,NA,1137.14,6.3176,7.64206,17194.6,3.11992,12.4797,29.4393,130.317,1.19997,0.959976,12.6397,4.0799,0,1.35997,163.196,3.19992,13.5997,179.995,143.596
Aggression,Wednesday,NA,P,8,female,Gre.Ora,9,2,HA_T3,Treatment,a7686,NA,1844.69,10.2622,4.98892,11215.1,-,0,42.6389,133.197,0.319992,0.39999,0.39999,2.63993,0.159996,0.239994,178.316,0.959976,0.719982,179.995,170.396
Aggression,Wednesday,NA,M,5,male,Yel.Pin,10,2,HA_T3,Treatment,a6996,NA,218.986,1.21662,24.4475,55006.9,23.0794,138.477,6.95983,28.9593,2.23994,0.959976,118.477,0.79998,0,21.5995,36.4791,3.8399,139.677,179.995,29.8393
Aggression,Wednesday,NA,P,8,male,Red.Pur,10,2,HA_T3,Treatment,a7325,NA,6.56815,0.0364906,12.7698,28732,179.995,179.995,0,0,0,0,0,179.995,0,0,0,179.995,0,179.995,0
Aggression,Thursday,NA,R,2,female,Blu.Pur,1,1,HA_C3,Control,a6813,NA,694.194,3.85673,7.38535,16617,25.3594,76.0781,4.39989,167.036,1.11997,2.07995,1.11997,2.47994,0.719982,1.03997,172.956,4.39989,2.63993,179.995,86.9578
Aggression,Thursday,NA,W,7,female,Pin.Gre,1,2,HA_C3,Control,a6845,NA,572.287,3.17945,9.17426,20642.1,0.865433,9.51976,50.4787,88.8778,4.0799,5.67986,8.0798,18.2395,1.59996,2.95993,155.036,14.0796,10.8797,179.995,90.3977
Aggression,Thursday,NA,X,8,female,Red.Pur,1,2,HA_C3,Control,a7093,NA,484.514,2.69181,6.59141,14830.7,38.2924,114.877,75.9981,97.8376,0.79998,0.719982,1.35997,0.719982,1.59996,0.959976,174.236,2.15995,3.59991,179.995,57.9985
Aggression,Thursday,NA,R,2,male,Red._,2,1,HA_C3,Control,a7611,NA,1353.77,7.53787,8.66914,19470.9,0.559986,3.35992,9.91975,129.677,5.75986,5.59986,8.47979,7.35982,6.63983,6.07985,144.796,15.4396,19.2795,179.916,146.476
Aggression,Thursday,NA,W,7,female,Pin.Blu,2,2,HA_C3,Control,a7552,NA,1046.75,5.81541,10.135,22803.7,4.31989,4.31989,43.9989,85.3579,7.43981,10.6397,7.11982,17.5996,1.99995,5.83985,141.036,26.6393,12.3197,179.995,161.356
Aggression,Thursday,NA,X,8,male,Bla.Pin,2,2,HA_C3,Control,a8043,NA,763.043,4.23923,7.65172,17216.4,0.543986,2.71993,30.5592,136.797,1.59996,1.35997,4.95988,2.79993,0,1.91995,169.276,4.39989,6.31984,179.995,130.877
Aggression,Thursday,NA,R,2,male,Bro.Ora,3,1,HA_C3,Control,a7361,NA,1595.26,8.86275,8.76288,19716.5,3.37992,13.5197,29.1193,115.757,4.71988,7.35982,5.91985,7.9198,3.51991,5.59986,150.076,17.0396,12.7997,179.995,153.116
