Time,Day,Date,Video,Arena,Sex,Mark,Session,Camera,Tank,Group,Fish_ID,Notes,Phase1,Phase2,Phase3,Phase4,tot_dist,mean_speed,mean_dist_05,tot_dist_05,freeze_dur,zone_510_dur,zone_05_dur,zone_2025_dur,zone_1520_dur,zone_3035_dur,zone_1015_dur,zone_3540_dur,zone_2530_dur,zone_near_dur,zone_middle_dur,zone_far_dur,arena_dur,moving_dur
27-30,Monday,29/07/2019,A,1,female,Red.Pur,9,1,HA_T2,Treatment,a7222,,Social,Novel,Aggression,Predator,1327.49,7.37512,14.1645,31870.1,0,59.6785,33.1992,9.03977,10.6397,24.0794,21.0395,9.75976,12.5597,108.797,28.3993,42.7989,179.995,168.076
27-30,Monday,29/07/2019,A,1,female,Whi._,11,1,HA_T2,Treatment,a8050,"RE-RUN, Covers fell down towards end, may exclude",Social,Novel,Aggression,Predator,1832.46,10.1806,16.0376,36084.7,2.15995,32.4792,13.5997,19.5195,24.9594,22.6394,44.9589,1.19997,20.6395,73.9981,68.1583,37.8391,179.995,173.356
27-30,Tuesday,30/07/2019,A,1,male,Bro.Ora,1,1,HA_C3,Control,a7361,,Social,Novel,Aggression,Predator,1716.02,9.53369,12.1685,27379.1,0.079998,40.959,51.1187,11.6797,17.5996,16.3196,25.7594,3.8399,12.7197,108.477,43.1989,28.3193,179.995,173.036
27-30,Tuesday,30/07/2019,A,1,male,Red._,2,1,HA_C3,Control,a7611,,Social,Novel,Aggression,Predator,1897.25,10.5405,13.3186,29966.8,0,24.5594,75.2781,11.2797,13.6797,14.3996,17.3596,9.91975,13.5197,111.517,34.9591,33.5192,179.995,166.156
27-30,Tuesday,30/07/2019,A,1,female,Whi.Pin,3,1,HA_C3,Control,a7232,,Social,Novel,Aggression,Predator,1522.34,8.45768,14.5835,32812.8,0,39.439,47.9188,10.8797,13.4397,24.0794,22.2394,5.03987,16.9596,102.157,36.5591,41.279,179.995,172.796
27-30,Tuesday,30/07/2019,A,1,female,Pur.Gre,4,1,HA_T3,Treatment,a7160,,Social,Novel,Aggression,Predator,1693.81,9.41029,24.6548,55473.3,0.479988,10.9597,13.5997,11.5997,10.7197,75.9181,7.75981,21.5995,27.8393,29.2793,31.6792,119.037,179.995,167.276
27-30,Tuesday,30/07/2019,A,1,female,_.Blu,5,1,HA_T3,Treatment,a7459,,Social,Novel,Aggression,Predator,1519.98,8.44453,18.6749,42018.5,0,29.5193,17.1996,19.1995,19.9995,32.2392,21.6795,15.9996,24.1594,60.4785,55.0386,64.4784,179.995,175.516
27-30,Tuesday,30/07/2019,A,1,female,Gre.Yel,6,1,HA_C4,Control,a6971,,Social,Novel,Aggression,Predator,1054.67,5.85943,12.3227,27726,0,27.2793,74.5581,13.9197,13.4397,18.8795,17.1996,3.19992,11.5197,113.037,37.3591,29.5993,179.995,173.836
27-30,Tuesday,30/07/2019,A,1,male,_.Yel,7,1,HA_C4,Control,a6807,,Social,Novel,Aggression,Predator,1449.84,8.05488,22.3256,50232.6,0,20.2395,6.47984,21.9994,11.5997,65.9184,11.0397,1.91995,40.799,33.2792,50.3187,96.3976,179.995,177.756
27-30,Tuesday,30/07/2019,A,1,female,Pur.Red,8,1,HA_C4,Control,a7578,,Social,Novel,Aggression,Predator,1484.65,8.24828,13.3767,30097.5,0.079998,39.359,45.8389,10.7997,15.4396,16.9596,29.0393,10.6397,11.9197,103.757,40.239,35.9991,179.995,176.076
27-30,Tuesday,30/07/2019,A,1,male,Bro.Yel,9,1,HA_T4,Treatment,a7728,,Social,Novel,Aggression,Predator,1037.34,5.76313,9.57821,21551,0.159996,30.8792,103.837,9.03977,8.71978,4.95988,15.6796,1.35997,5.51986,144.956,25.2794,9.75976,179.995,153.356
27-30,Tuesday,30/07/2019,A,1,male,Bla.Pin,10,1,HA_T4,Treatment,a7138,,Social,Novel,Aggression,Predator,2151.28,11.9519,19.5619,44014.3,0,23.9194,11.8397,20.7995,22.5594,47.1988,22.2394,3.19992,28.2393,51.6787,58.6385,69.6783,179.995,174.396
6-Sep,Monday,29/07/2019,B,2,female,Whi.Pur,1,1,HA_C1,Control,a7376,,Novel,Aggression,Predator,Social,1403.61,7.79803,19.0019,42754.3,0.239994,13.1197,1.67996,34.2391,35.5191,7.27982,40.319,25.7594,22.0794,37.5991,95.7576,46.6388,179.995,170.876
