"","X","Time","Day","Date","Video","Arena","Sex","Mark","Session","Camera","Tank","Group","Fish_ID","Notes","tot_dist","mean_speed","mean_dist_05","tot_dist_05","freeze_mean","freeze_dur","zone_510_dur","zone_05_dur","zone_2025_dur","zone_1520_dur","zone_3035_dur","zone_1015_dur","zone_3540_dur","zone_2530_dur","zone_near_dur","zone_middle_dur","zone_far_dur","arena_dur","moving_dur"
"177",1617,"13-16","Wednesday",NA,"J",2,"male","Pin._",5,1,"HA_T2","Treatment","a7054",NA,712.769,3.95993,5.3064,11939.4,"0.231105",2.07995,13.1997,149.676,3.8399,3.51991,3.11992,3.8399,0,2.79993,165.436,9.35977,5.19987,179.995,106.077
"178",1618,"13-16","Wednesday",NA,"K",3,"female","Blu.Ora",5,1,"HA_T2","Treatment","a6883",NA,655.721,3.64298,4.05966,9134.23,"0.13333",1.59996,5.51986,172.796,0.79998,0.39999,0,0.479988,0,0,178.636,1.35997,0,179.995,126.157
"179",1619,"13-16","Wednesday",NA,"L",4,"male","Gre.Whi",5,1,"HA_T2","Treatment","a6833",NA,1470.12,8.16755,13.628,30663.1,"7.9998E-2",0.159996,17.2796,69.9183,17.9196,13.6797,22.7194,15.9196,2.15995,20.3995,97.5976,43.8389,38.559,179.995,168.796
"180",1620,"13-16","Wednesday",NA,"P",8,"female","Yel.Gre",5,2,"HA_T2","Treatment","a8067",NA,408.755,2.27092,4.5103,10148.2,"0.31618299999999999",6.63983,0.319992,175.916,0.239994,0.159996,0.879978,0.319992,1.83995,0.319992,176.476,0.559986,2.95993,179.995,88.6378
"181",1621,"13-16","Wednesday",NA,"J",2,"female","_.Pin",6,1,"HA_C3","Control","a7279",NA,564.795,3.13783,5.66273,12741.1,"0.10666399999999999",0.319992,3.35992,170.876,0.319992,0.239994,2.31994,0.239994,2.23994,0.39999,174.396,0.719982,4.87988,179.995,127.997
"182",1622,"13-16","Wednesday",NA,"K",3,"female","Red.Pin",6,1,"HA_C3","Control","a7044",NA,429.168,2.38432,4.06769,9152.3,"0.159996",2.23994,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,97.7576
"183",1623,"13-16","Wednesday",NA,"L",4,"male","Pur._",6,1,"HA_C3","Control","a7730",NA,846.353,4.70208,7.30788,16442.7,"0.13999600000000001",0.559986,17.3596,133.837,5.03987,6.63983,2.63993,8.95978,0,5.35987,157.036,16.3196,6.47984,179.995,147.916
"184",1624,"13-16","Wednesday",NA,"P",8,"female","Blu.Gre",6,2,"HA_C3","Control","a6885",NA,355.924,1.9774,4.63374,10425.9,"3.44563",48.2388,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,70.1582
"185",1625,"13-16","Wednesday",NA,"J",2,"male","Red.Bro",7,1,"HA_C3","Control","a7564",NA,559.951,3.11092,4.80655,10814.7,"0.23999400000000001",1.67996,6.95983,170.876,0.39999,0.239994,0,0.319992,0,1.19997,177.996,0.959976,1.03997,179.995,131.597
"186",1626,"13-16","Wednesday",NA,"K",3,"male","Gre._",7,1,"HA_C3","Control","a7017",NA,1113.35,6.18541,6.3976,14394.6,"0.17599600000000001",0.879978,15.6796,138.717,4.39989,4.0799,4.71988,8.0798,0.239994,4.0799,160.156,12.1597,7.67981,179.995,157.916
"187",1627,"13-16","Wednesday",NA,"L",4,"male","Red.Blu",7,1,"HA_C3","Control","a7466",NA,1091.51,6.06408,16.1875,36421.9,"8.5197900000000004",17.0396,17.1996,60.3185,9.35977,10.0797,52.7987,8.63978,1.67996,19.9195,83.5179,26.7193,69.7583,179.995,149.196
"188",1628,"13-16","Wednesday",NA,"P",8,"male","Bla.Red",7,2,"HA_C3","Control","a7144",NA,741.319,4.11854,7.58164,17058.7,"10.989699999999999",87.9178,31.9192,101.117,3.75991,29.0393,1.19997,8.23979,0,4.71988,138.877,36.8791,4.23989,179.995,77.7581
"189",1629,"13-16","Wednesday",NA,"J",2,"female","Pin.Blu",8,1,"HA_C3","Control","a7552",NA,812.936,4.51643,5.92926,13340.8,"7.9998E-2",0.159996,21.9195,135.837,3.67991,6.15985,1.51996,8.63978,0,2.23994,163.676,13.5197,2.79993,179.995,155.516
"190",1630,"13-16","Wednesday",NA,"K",3,"male","Bla.Pin",8,1,"HA_C3","Control","a8043",NA,1094.46,6.08048,5.76836,12978.8,"0.23999400000000001",0.239994,31.5192,129.197,2.07995,3.9999,2.63993,8.55979,0.239994,1.75996,166.876,9.03977,4.0799,179.995,163.756
"191",1631,"13-16","Wednesday",NA,"L",4,"male","Whi.Ora",8,1,"HA_C3","Control","a7264",NA,881.964,4.89992,6.92436,15579.8,"7.9998E-2",0.239994,12.3197,136.557,5.59986,5.35987,6.39984,5.59986,2.95993,4.31989,152.476,14.2396,12.3997,179.995,149.916
"192",1632,"13-16","Wednesday",NA,"P",8,"male","Bla.Blu",8,2,"HA_T3","Treatment","a6808",NA,1481.36,8.22996,9.96598,22423.5,"-",0,31.5192,83.5979,10.1597,10.2397,11.9197,19.5195,0.639984,12.3997,129.117,29.6793,21.1995,179.995,170.396
"193",1633,"13-16","Wednesday",NA,"J",2,"male","_.Ora",9,1,"HA_T3","Treatment","a7414",NA,1186.89,6.59402,11.149,25085.1,"7.9998E-2",0.159996,20.5595,102.317,6.63983,5.27987,27.1193,7.9998,3.8399,6.23984,128.237,16.2396,35.5191,179.995,169.756
"194",1634,"13-16","Wednesday",NA,"K",3,"female","Red.Red",9,1,"HA_T3","Treatment","a8063",NA,785.054,4.36152,19.8957,44765.3,"6.6042800000000002",59.4385,8.47979,53.3587,5.75986,2.79993,56.9586,4.71988,0,47.9188,65.5184,12.0797,102.397,179.995,86.6378
"195",1635,"13-16","Wednesday",NA,"L",4,"female","Ora.Yel",9,1,"HA_T3","Treatment","a7484",NA,436.377,2.42438,4.01246,9028.04,"0.129997",1.03997,0.319992,179.516,0,0,0,0.159996,0,0,179.916,0.079998,0,179.995,102.717
"196",1636,"13-16","Wednesday",NA,"P",8,"female","Gre.Ora",9,2,"HA_T3","Treatment","a7686",NA,887.471,4.93052,7.89901,17772.8,"12.3864",74.3181,33.6792,131.037,2.63993,2.23994,3.03992,3.19992,2.23994,1.91995,167.116,6.31984,6.55984,179.995,95.5176
"197",1637,"13-16","Wednesday",NA,"J",2,"female","Yel.Whi",10,1,"HA_T3","Treatment","a7210",NA,302.352,1.67978,6.81403,15331.6,"135.99700000000001",135.997,7.43981,160.236,1.03997,1.35997,4.71988,2.39994,0.319992,2.47994,169.116,3.75991,7.11982,179.995,38.319
"198",1638,"13-16","Wednesday",NA,"K",3,"female","_.Blu",10,1,"HA_T3","Treatment","a7459",NA,20.4985,0.113884,26.8212,60347.7,"4.5928300000000002",156.156,0,0,0,0,0,0,0,179.995,0,36.4791,143.516,179.995,0
"199",1639,"13-16","Wednesday",NA,"L",4,"female","Pur.Gre",10,1,"HA_T3","Treatment","a7160",NA,929.916,5.16633,5.05841,11381.4,"7.9998E-2",0.079998,4.47989,163.516,1.99995,1.59996,3.51991,1.99995,0.559986,2.31994,169.436,4.79988,5.75986,179.995,147.356
"200",1640,"13-16","Wednesday",NA,"P",8,"male","Red.Pur",10,2,"HA_T3","Treatment","a7325",NA,360.059,2.00038,6.48908,14600.4,"9.2697699999999994",74.1581,10.7997,127.597,4.31989,1.83995,0.719982,33.9192,0,0.79998,171.756,7.11982,1.11997,179.995,64.3184
"201",1641,"13-16","Thursday",NA,"U",5,"female","_.Pin",1,2,"HA_C3","Control","a7279",NA,1483.32,8.24088,9.33284,20998.9,"7.9998E-2",0.079998,16.7196,111.917,8.31979,7.8398,12.0797,11.1997,5.35987,6.55984,135.597,22.6394,21.7595,179.995,168.316
"202",1642,"13-16","Thursday",NA,"X",8,"female","Red.Pur",1,2,"HA_C3","Control","a7093",NA,1207.54,6.72066,5.96867,13411.6,"4.3732199999999999",13.1197,19.5995,151.196,0.559986,1.03997,1.35997,4.79988,0.719982,0.719982,174.796,2.63993,2.55994,179.995,153.756
"203",1643,"13-16","Thursday",NA,"U",5,"female","Red.Pin",2,2,"HA_C3","Control","a7044",NA,1220.72,6.78193,8.2367,18532.6,"-",0,11.0397,138.637,3.19992,3.35992,6.95983,3.8399,9.11977,3.8399,152.156,9.11977,18.7195,179.995,158.556
"204",1644,"13-16","Thursday",NA,"X",8,"male","Bla.Pin",2,2,"HA_C3","Control","a8043",NA,1066.01,5.92245,10.882,24484.6,"1.82395",9.11977,37.8391,92.8777,2.55994,2.31994,28.3993,8.39979,0.719982,6.87983,137.917,7.03982,35.0391,179.995,136.877
"205",1645,"13-16","Thursday",NA,"U",5,"female","Ora.Yel",3,2,"HA_T3","Treatment","a7484",NA,389.2,2.16228,4.54801,10233,"0.10666399999999999",1.27997,0,179.995,0,0,0,0,0,0,179.995,0,0,179.995,94.4776
"206",1646,"13-16","Thursday",NA,"X",8,"female","Ora.Pin",3,2,"HA_T3","Treatment","a7556",NA,511.818,2.84351,4.89243,11008,"0.14399600000000001",0.719982,0.639984,179.356,0,0,0,0,0,0,179.995,0,0,179.995,110.637
"207",1647,"13-16","Thursday",NA,"U",5,"male","Blu.Pin",4,2,"HA_T3","Treatment","a6882",NA,2326.1,12.9231,15.7214,35373.1,"-",0,22.3194,56.2386,14.1596,11.4397,32.1592,15.3596,11.5997,16.7196,88.5578,36.0791,55.3586,179.995,174.636
"208",1648,"13-16","Thursday",NA,"X",8,"male","Pin.Pur",4,2,"HA_T3","Treatment","a6842",NA,1111.81,6.17689,10.7335,24150.5,"-",0,36.4791,64.7184,13.5197,14.8796,10.2397,28.5593,0.959976,10.6397,120.557,41.359,18.0795,179.995,172.556
"209",1649,"13-16","Thursday",NA,"U",5,"male","_.Ora",5,2,"HA_T3","Treatment","a7414",NA,1371.61,7.62025,11.4799,25829.7,"-",0,44.3989,71.2782,8.39979,7.67981,16.0796,13.1197,9.83975,9.19977,124.637,22.8794,32.4792,179.995,175.916
"210",1650,"13-16","Thursday",NA,"X",8,"male","Bla.Whi",5,2,"HA_T3","Treatment","a7139",NA,1451.16,8.06219,10.8917,24506.3,"1.75996",7.03982,19.1195,91.0377,15.1196,15.4396,11.0397,12.8797,5.67986,9.59976,118.717,38.319,22.8794,179.995,154.236
