Time,Video_ID,Arena,Day,Camera,Session,Tank,Group,Mark,Sex,Fish_ID,Date,Notes,tot_dist,mean_speed,freeze Not Moving / center-point Frequency,freeze Not Moving / center-point Cumulative Duration s,in_det_zone 5-10cm / center-point Frequency,in_det_zone 5-10cm / center-point Cumulative Duration s,in_det_zone 0-5cm / center-point Frequency,zone_05_dur,in_det_zone 20-25cm / center-point Frequency,in_det_zone 20-25cm / center-point Cumulative Duration s,in_det_zone 15-20cm / center-point Frequency,in_det_zone 15-20cm / center-point Cumulative Duration s,in_det_zone 30-35cm / center-point Frequency,in_det_zone 30-35cm / center-point Cumulative Duration s,in_det_zone 10-15cm / center-point Frequency,in_det_zone 10-15cm / center-point Cumulative Duration s,in_det_zone 35-40cm / center-point Frequency,in_det_zone 35-40cm / center-point Cumulative Duration s,in_det_zone 25-30cm / center-point Frequency,in_det_zone 25-30cm / center-point Cumulative Duration s,in_zone Near / center-point Frequency,in_zone Near / center-point Cumulative Duration s,in_zone Middle / center-point Frequency,in_zone Middle / center-point Cumulative Duration s,in_zone Far / center-point Frequency,in_zone Far / center-point Cumulative Duration s,risk_3 Arena / center-point Cumulative Duration s,move Moving / center-point Cumulative Duration s
9-12,2.4,8,Monday,2,9,HA_C4,Control,Whi.Ora,male,a7184,9/09/2019,,1209.3,6.71835,2,0.4,19,12.08,11,13.12,20,10.64,16,5.83998,47,54.8799,16,7.99998,31,56.5599,29,18.88,9,30.7199,21,23.3599,13,125.92,180,164.72
9-12,4.3,7,Monday,2,9,HA_C4,Control,Blu.Bla,female,a7201,9/09/2019,,511.953,2.84419,9,1.44,9,5.59999,7,167.6,4,1.28,4,1.2,2,1.28,4,1.44,1,0.16,3,1.44,3,174.08,4,3.67999,2,2.23999,180,97.9197
9-12,1.1,1,Monday,1,10,HA_C4,Control,Bro.Whi,female,a7438,9/09/2019,,594.888,3.30494,4,43.8399,2,1.36,2,123.28,3,1.04,2,0.879998,2,50.6399,1,0.319999,0,0,3,2.47999,1,124.8,2,2.95999,2,52.2399,180,110.96
9-12,1.2,2,Monday,1,10,HA_C4,Control,Ora.Gre,male,a7492,9/09/2019,,1398.44,7.76912,0,0,49,41.3599,23,18.56,31,14.8,39,28.5599,25,17.6,48,32.3999,10,9.59997,30,17.12,22,79.8398,36,60.4798,15,39.6799,180,173.84
9-12,1.3,3,Monday,1,10,HA_C4,Control,Pur._,female,a6930,9/09/2019,,613.344,3.40747,4,1.44,21,19.44,18,146.64,4,2.15999,6,3.43999,1,1.52,8,4.79999,0,0,3,1.99999,5,169.2,5,8.47998,1,2.31999,180,122.64
9-12,1.4,4,Monday,1,10,HA_C4,Control,Pur.Red,female,a7578,9/09/2019,,1640.24,9.11245,0,0,24,14.48,10,9.75998,49,25.5999,40,22.4799,45,35.9199,31,11.84,17,29.5999,55,30.3199,15,31.1199,40,60.8799,26,87.9998,180,174.88
9-12,2.1,5,Monday,2,10,HA_C4,Control,Pin.Bla,female,a8045,9/09/2019,,1376.62,7.64789,0,0,49,30.5599,30,64.5598,26,10.96,28,14.24,21,25.0399,34,16.96,6,3.59999,28,14.08,14,107.12,27,33.9999,14,38.8799,180,174.48
9-12,2.2,6,Monday,2,10,HA_C4,Control,Pin.Blu,male,a6843,9/09/2019,,1129.75,6.27638,1,0.08,31,21.5999,16,76.8798,15,6.87998,19,9.43998,18,11.6,26,12.96,10,31.1999,15,9.43998,12,107.68,20,22.0799,8,50.2399,180,155.68
9-12,2.4,8,Monday,2,10,HA_C4,Control,Pur.Blu,male,a7737,9/09/2019,,1467.74,8.15414,0,0,43,42.9599,23,30.1599,30,16,30,19.44,26,22.4799,35,23.3599,9,8.39998,32,17.2,19,89.0398,34,47.8399,15,43.1199,180,178.88
9-12,4.3,7,Monday,2,10,HA_C4,Control,Yel.Yel,female,a7418,9/09/2019,,487.284,2.70714,9,1.2,7,6.39999,8,173.6,0,0,0,0,0,0,0,0,0,0,0,0,1,180,0,0,0,0,180,111.12
9-12,1.1,1,Tuesday,1,1,HA_T2,Treatment,Pin.Blu,female,a7288,10/09/2019,,609.903,3.38836,9,1.12,19,14.08,15,152.16,2,1.91999,4,3.35999,3,1.52,7,3.59999,2,1.6,3,1.76,4,168.72,5,7.03998,2,4.23999,180,116.64
9-12,1.2,2,Tuesday,1,1,HA_T2,Treatment,Yel.Gre,female,a8067,10/09/2019,,1807.46,10.0415,0,0,69,50.0799,35,34.8799,29,11.12,42,19.3599,24,16.72,60,26.2399,10,8.95998,27,12.64,28,103.2,43,42.5599,16,34.2399,180,178.16
9-12,1.3,3,Tuesday,1,1,HA_T2,Treatment,Red.Ora,female,a7089,10/09/2019,,687.118,3.81733,1,0.08,27,35.2799,16,84.0798,4,8.71998,11,23.1199,2,2.71999,20,23.8399,1,0.16,2,2.07999,9,137.68,9,38.3199,1,3.99999,180,156.88
9-12,1.4,4,Tuesday,1,1,HA_T2,Treatment,Bro.Gre,female,a7724,10/09/2019,,1699.2,9.44002,0,0,62,52.0799,30,37.5199,30,12.88,37,18.32,9,8.15998,53,32.5599,3,7.91998,20,10.56,24,114.32,36,43.6799,12,21.9999,180,174.64
9-12,2.1,5,Tuesday,2,1,HA_T2,Treatment,Whi.Bro,female,a7649,10/09/2019,,812.738,4.51522,7,0.559998,18,17.04,14,151.04,4,2.15999,4,2.63999,2,1.91999,6,3.43999,0,0,4,1.76,3,170.4,5,6.55998,2,3.03999,180,142.32
9-12,2.2,6,Tuesday,2,1,HA_T2,Treatment,Blu.Ora,female,a6883,10/09/2019,,1251.83,6.95464,0,0,33,24.2399,18,103.76,17,8.23998,16,7.59998,14,13.12,22,10.56,4,2.71999,19,9.75998,9,135.76,18,21.4399,10,22.7999,180,166.56
